batch,records_seen,mse,mse_moving_avg_100
187,5984,595.7086573471203,1931.7918512976514
188,6016,1603.4300621177927,1910.7442464094308
189,6048,1316.4914753287544,1914.948009660074
190,6080,157.05982914116248,1877.51914474827
191,6112,194.76830261627848,1865.9618897247556
192,6144,1421.2442330181486,1870.2352647381838
193,6176,812.1527704344971,1856.0895415071425
194,6208,516.2441663165773,1648.1892566493384
195,6240,3650.273797371682,1681.1531438066024
196,6272,356.99655424994563,1674.2741059888006
197,6304,515.3405251807824,1676.7452499669034
198,6336,985.7368160639303,1680.6021243492137
199,6368,139.5276079234856,1677.178528698837
200,6400,967.9191426883738,1684.5026150469064
201,6432,265.5415584059248,1677.261746062527
202,6464,2551.338228447297,1700.4679657372346
203,6496,1205.309000263257,1705.0923014283303
204,6528,1337.2156124940689,1710.380723844964
205,6560,494.0265468346052,1714.6520912727715
206,6592,892.1134916649665,1711.4916672551335
207,6624,456.627004930073,1697.5458421854635
208,6656,148.8451493106895,1692.62200435176
209,6688,6597.751616909962,1728.929589880502
210,6720,777.8144839417625,1727.8880438996216
211,6752,249.10476200038357,1706.9187276151094
212,6784,10042.393446159878,1786.2832917985331
213,6816,568.7938903110672,1788.445288003787
214,6848,635.0023841005487,1713.5725673897596
215,6880,1635.2354087348738,1726.6401106227045
216,6912,275.2882363733238,1713.9828269054779
217,6944,1074.1147821641898,1718.8496621876925
218,6976,870.0593272291502,1714.2151925904052
219,7008,39373.215893050656,1979.8666024474478
220,7040,308.9889178513519,1977.4991332057375
221,7072,3057.586413350726,2002.3956348426718
222,7104,222.3946396087729,1996.869386292225
223,7136,1866.5699928573995,1968.6618953098998
224,7168,1080.7092579334394,1970.7297825789994
225,7200,749.0770628063739,1951.9052077189308
226,7232,544.7370948899628,1952.3740105147826
227,7264,248.013668900306,1938.987115068724
228,7296,882.9623857718168,1918.0747837980164
229,7328,521.5543852949475,1917.2582024078413
230,7360,1245.9598562378517,1924.0826913206995
231,7392,1265.1236570526212,1918.4875990238488
232,7424,840.897398312071,1912.5179232684573
233,7456,260.71411448648655,1902.348313994221
234,7488,797.2161072486407,1819.51262857074
235,7520,777.3070986249434,1820.0161000132132
236,7552,978.7340093491716,1828.0953337243654
237,7584,508.6104246570069,1830.4114200443075
238,7616,1257.6458186934062,1828.0561692973001
239,7648,229.77742947198809,1820.88905767748
240,7680,3563.3574199205373,1852.7234282986997
241,7712,1017.1425718270884,1855.5740919704026
242,7744,291.86516174725676,1840.5567033053019
243,7776,2807.963877591331,1865.9326480329194
244,7808,511.179359909851,1869.94563329276
245,7840,2693.4481309302832,1884.5891998072977
246,7872,682.605292924726,1875.054089556887
247,7904,911.7243404976228,1881.6331842982943
248,7936,898.0982310448743,1888.526741401575
249,7968,500.4339539769222,1863.877311803674
250,8000,291.9217423401568,1855.91653738384
251,8032,569.855581436379,1851.7772185085005
252,8064,271.15955894282786,1847.6593233993242
253,8096,148.79725130877307,1560.6155897626334
254,8128,1921.3527335846904,1573.4921915113962
255,8160,4231.130164083741,1606.7928067971873
