feature,value,avg_prediction
sku,34.9976761723301,18.27000108418333
sku,1957.0737602008012,18.481952180418737
sku,3879.1524143410534,18.695355978280055
sku,5801.228498369521,18.9100805076185
sku,7723.304582397992,19.125988731475175
sku,9645.38323653824,19.342935684965816
sku,11567.459320566712,19.560769395831944
sku,13489.535404595179,19.77933221069956
sku,15411.612773679539,19.998459334289986
sku,17333.6901427639,20.217980417483904
sku,19255.76622679237,20.43771906817468
sku,21177.84359587673,20.657493624289422
sku,23099.920964961086,20.8771170842564
sku,25021.997048989557,21.09639801909135
sku,26944.073133018028,21.315140873201493
sku,28866.151787158276,21.533146202610308
sku,30788.227871186744,21.75021105194509
sku,32710.303955215215,21.966130054563603
sku,34632.38260935546,22.180695938025806
sku,36554.45869338393,22.393698680633232
sku,38476.5347774124,22.604928449332366
sku,40398.61343155265,22.814174061230368
sku,42320.68951558112,23.021224590704993
sku,44242.76559960959,23.22586954444538
sku,46164.84425374984,23.42790012996845
sku,48086.91776766653,23.627107675717376
sku,50008.996421806776,23.823287773390504
sku,51931.075075947025,24.01623755135657
sku,53853.14858986372,24.20575668015653
sku,55775.22724400397,24.391650586118818
sku,57697.305898144215,24.57372621682416
sku,59619.37941206091,24.751796504493722
sku,61541.45806620116,24.925679436670777
sku,63463.536720341406,25.095197584608353
sku,65385.6102342581,25.260178360237514
sku,67307.68888839835,25.42045713153002
sku,69229.7675425386,25.575873319603428
sku,71151.84105645528,25.72627298986842
sku,73073.91971059554,25.871509985107863
sku,74995.99836473577,26.011443806244145
price,0.00875736899366486,54.62136622082393
price,1.1369114506071805,8.285662319852344
price,2.265065532220696,6.964616041746386
price,3.3932196138342112,6.234857955579241
price,4.521373695447727,5.64978361312328
price,5.649527777061242,5.213253312114072
price,6.777681858674757,4.893698752152459
price,7.905835940288273,4.657515561489446
price,9.033990021901788,4.476593412481866
price,10.162144614170646,4.336946798459446
price,11.290298695784163,4.23067202980897
price,12.418452777397677,4.149961389133443
price,13.546606859011193,4.086617318785288
price,14.674760940624708,4.035856808045085
price,15.802915022238224,3.9957040258844323
price,16.93106910385174,3.9639956529750227
price,18.059223185465257,3.938392473679554
price,19.187377267078773,3.9180816464942776
price,20.31553134869229,3.9022396793354375
price,21.4436854303058,3.889608775888952
price,22.571839511919315,3.8790575313590043
price,23.69999359353283,3.869883903528645
price,24.828147675146347,3.8621237567069127
price,25.956301756759864,3.855755367701161
price,27.08445583837338,3.850138774206543
price,28.212609919986896,3.84493305185234
price,29.340764001600412,3.8404188952688862
price,30.46891808321392,3.836683313920616
price,31.597072164827438,3.8335882668583827
price,32.725226246440954,3.831147216197647
price,33.85338032805447,3.829151699584011
price,34.98153236704662,3.827383898598641
price,36.109686448660135,3.825754695427828
price,37.23784257289502,3.8242387602533343
price,38.36599461188716,3.822821629085665
price,39.49414665087931,3.8214903077939693
price,40.62230277511419,3.820250527678155
price,41.750458899349084,3.819135722429515
price,42.878610938341225,3.8181836845262414
price,44.006762977333366,3.8174009488232166
order,2.2590065995586883e-07,22.48831918074562
order,11.410256711813883,21.165617609326777
order,22.820513197727106,20.746296506122178
order,34.23077226709112,21.169632162710865
order,45.64102703070381,21.96523227415524
order,57.05128179431651,22.781350256674305
order,68.46154344713132,23.50311020891526
order,79.87179476614295,24.1431268039048
order,91.28204952975565,24.73817641187724
order,102.69230429336835,25.31241000388127
order,114.10255905698105,25.876175317650407
order,125.51281382059373,26.432238426111116
order,136.92308236261064,26.980352898785426
order,148.33333712622334,27.519573269809747
order,159.74359188983604,28.04923782043189
order,171.15384665344874,28.569300324474234
order,182.56410141706144,29.08036294692637
order,193.97435618067414,29.58358114330489
order,205.38461094428683,30.080514340819256
order,216.79486570789953,30.572964418985368
order,228.20512047151223,31.06282886010567
order,239.61537523512493,31.551991148966138
