label,batch,memory_mb,delta_from_start_mb
batch,148.0,389.71484375,70.74609375
batch,149.0,389.71484375,70.74609375
batch,150.0,389.71484375,70.74609375
batch,151.0,389.71875,70.75
batch,152.0,389.72265625,70.75390625
batch,153.0,389.72265625,70.75390625
batch,154.0,389.72265625,70.75390625
batch,155.0,389.72265625,70.75390625
batch,156.0,389.72265625,70.75390625
batch,157.0,389.7265625,70.7578125
batch,158.0,389.7265625,70.7578125
batch,159.0,389.7265625,70.7578125
batch,160.0,389.7265625,70.7578125
batch,161.0,389.73046875,70.76171875
batch,162.0,389.73046875,70.76171875
batch,163.0,389.73828125,70.76953125
batch,164.0,389.73828125,70.76953125
batch,165.0,389.73828125,70.76953125
batch,166.0,389.73828125,70.76953125
batch,167.0,389.7421875,70.7734375
batch,168.0,389.7421875,70.7734375
batch,169.0,389.7421875,70.7734375
batch,170.0,389.7421875,70.7734375
batch,171.0,389.7421875,70.7734375
batch,172.0,389.75,70.78125
batch,173.0,389.75,70.78125
batch,174.0,389.75,70.78125
batch,175.0,389.75,70.78125
batch,176.0,389.75,70.78125
batch,177.0,389.75,70.78125
batch,178.0,389.75390625,70.78515625
batch,179.0,389.75390625,70.78515625
batch,180.0,389.75390625,70.78515625
batch,181.0,389.75390625,70.78515625
batch,182.0,389.7578125,70.7890625
batch,183.0,389.7578125,70.7890625
batch,184.0,389.7578125,70.7890625
batch,185.0,389.7578125,70.7890625
batch,186.0,389.76171875,70.79296875
batch,187.0,389.76171875,70.79296875
batch,188.0,389.76171875,70.79296875
batch,189.0,389.76171875,70.79296875
batch,190.0,389.76171875,70.79296875
batch,191.0,389.76171875,70.79296875
batch,192.0,389.765625,70.796875
batch,193.0,389.765625,70.796875
batch,194.0,389.765625,70.796875
batch,195.0,389.76953125,70.80078125
batch,196.0,389.76953125,70.80078125
batch,197.0,389.76953125,70.80078125
batch,198.0,389.76953125,70.80078125
batch,199.0,389.7734375,70.8046875
batch,200.0,389.7734375,70.8046875
batch,201.0,389.77734375,70.80859375
batch,202.0,389.78125,70.8125
batch,203.0,389.78125,70.8125
batch,204.0,389.78125,70.8125
batch,205.0,389.78125,70.8125
batch,206.0,389.78125,70.8125
batch,207.0,389.78125,70.8125
batch,208.0,389.78125,70.8125
batch,209.0,389.78125,70.8125
batch,210.0,389.78125,70.8125
batch,211.0,389.78125,70.8125
batch,212.0,389.78515625,70.81640625
batch,213.0,389.78515625,70.81640625
batch,214.0,389.81640625,70.84765625
batch,215.0,389.81640625,70.84765625
batch,216.0,389.8203125,70.8515625
batch,217.0,389.8203125,70.8515625
batch,218.0,389.8203125,70.8515625
batch,219.0,389.8203125,70.8515625
batch,220.0,389.8203125,70.8515625
batch,221.0,389.82421875,70.85546875
batch,222.0,389.82421875,70.85546875
batch,223.0,389.828125,70.859375
batch,224.0,389.828125,70.859375
batch,225.0,389.828125,70.859375
batch,226.0,389.828125,70.859375
batch,227.0,389.828125,70.859375
batch,228.0,389.828125,70.859375
batch,229.0,389.83203125,70.86328125
batch,230.0,389.83203125,70.86328125
batch,231.0,389.84375,70.875
batch,232.0,389.84375,70.875
batch,233.0,389.84765625,70.87890625
batch,234.0,389.84765625,70.87890625
batch,235.0,389.84765625,70.87890625
batch,236.0,389.84765625,70.87890625
batch,237.0,389.84765625,70.87890625
batch,238.0,389.84765625,70.87890625
batch,239.0,389.84765625,70.87890625
batch,240.0,389.84765625,70.87890625
batch,241.0,389.84765625,70.87890625
batch,242.0,389.84765625,70.87890625
batch,243.0,389.8515625,70.8828125
batch,244.0,389.8515625,70.8828125
batch,245.0,389.8515625,70.8828125
batch,246.0,389.85546875,70.88671875
batch,247.0,389.85546875,70.88671875
batch,248.0,389.85546875,70.88671875
batch,249.0,389.85546875,70.88671875
batch,250.0,389.85546875,70.88671875
batch,251.0,389.85546875,70.88671875
batch,252.0,389.85546875,70.88671875
batch,253.0,389.859375,70.890625
batch,254.0,389.859375,70.890625
batch,255.0,389.859375,70.890625
batch,256.0,389.859375,70.890625
batch,257.0,389.859375,70.890625
batch,258.0,389.859375,70.890625
batch,259.0,389.859375,70.890625
batch,260.0,389.859375,70.890625
batch,261.0,389.8671875,70.8984375
batch,262.0,389.8671875,70.8984375
batch,263.0,389.90625,70.9375
batch,264.0,389.90625,70.9375
batch,265.0,389.90625,70.9375
batch,266.0,389.91015625,70.94140625
batch,267.0,389.91015625,70.94140625
batch,268.0,389.91015625,70.94140625
batch,269.0,389.91015625,70.94140625
batch,270.0,389.91015625,70.94140625
batch,271.0,389.91015625,70.94140625
batch,272.0,389.91015625,70.94140625
batch,273.0,389.9140625,70.9453125
batch,274.0,389.9140625,70.9453125
batch,275.0,389.91796875,70.94921875
batch,276.0,389.91796875,70.94921875
batch,277.0,389.91796875,70.94921875
batch,278.0,389.91796875,70.94921875
batch,279.0,389.91796875,70.94921875
batch,280.0,389.91796875,70.94921875
batch,281.0,389.91796875,70.94921875
batch,282.0,389.91796875,70.94921875
batch,283.0,389.91796875,70.94921875
batch,284.0,389.921875,70.953125
batch,285.0,389.921875,70.953125
batch,286.0,389.921875,70.953125
batch,287.0,389.921875,70.953125
batch,288.0,389.921875,70.953125
batch,289.0,389.92578125,70.95703125
batch,290.0,389.92578125,70.95703125
batch,291.0,389.92578125,70.95703125
batch,292.0,389.92578125,70.95703125
batch,293.0,389.9296875,70.9609375
batch,294.0,389.9375,70.96875
batch,295.0,389.9375,70.96875
batch,296.0,389.9375,70.96875
batch,297.0,389.9375,70.96875
batch,298.0,389.9375,70.96875
batch,299.0,389.9375,70.96875
batch,300.0,389.9375,70.96875
batch,301.0,389.9375,70.96875
batch,302.0,389.94140625,70.97265625
batch,303.0,389.94921875,70.98046875
batch,304.0,389.953125,70.984375
batch,305.0,389.953125,70.984375
batch,306.0,389.953125,70.984375
batch,307.0,389.953125,70.984375
batch,308.0,389.953125,70.984375
batch,309.0,389.953125,70.984375
batch,310.0,389.953125,70.984375
batch,311.0,389.953125,70.984375
batch,312.0,389.953125,70.984375
batch,313.0,389.953125,70.984375
batch,314.0,389.95703125,70.98828125
batch,315.0,389.95703125,70.98828125
batch,316.0,389.95703125,70.98828125
batch,317.0,389.95703125,70.98828125
batch,318.0,389.95703125,70.98828125
batch,319.0,389.9609375,70.9921875
batch,320.0,389.9609375,70.9921875
batch,321.0,389.9609375,70.9921875
batch,322.0,389.9609375,70.9921875
batch,323.0,389.9609375,70.9921875
batch,324.0,389.96484375,70.99609375
batch,325.0,389.97265625,71.00390625
batch,326.0,389.97265625,71.00390625
batch,327.0,389.97265625,71.00390625
batch,328.0,389.97265625,71.00390625
batch,329.0,389.97265625,71.00390625
batch,330.0,389.97265625,71.00390625
batch,331.0,389.97265625,71.00390625
batch,332.0,389.97265625,71.00390625
batch,333.0,389.9765625,71.0078125
batch,334.0,389.98046875,71.01171875
batch,335.0,389.98046875,71.01171875
batch,336.0,389.984375,71.015625
batch,337.0,389.984375,71.015625
batch,338.0,389.984375,71.015625
batch,339.0,389.984375,71.015625
batch,340.0,389.984375,71.015625
batch,341.0,389.984375,71.015625
batch,342.0,389.984375,71.015625
batch,343.0,389.984375,71.015625
batch,344.0,389.98828125,71.01953125
batch,345.0,389.9921875,71.0234375
batch,346.0,389.9921875,71.0234375
batch,347.0,389.99609375,71.02734375
batch,348.0,389.99609375,71.02734375
batch,349.0,389.99609375,71.02734375
batch,350.0,389.99609375,71.02734375
batch,351.0,389.99609375,71.02734375
batch,352.0,389.99609375,71.02734375
batch,353.0,389.99609375,71.02734375
batch,354.0,389.99609375,71.02734375
batch,355.0,390.0,71.03125
batch,356.0,390.0,71.03125
batch,357.0,390.0078125,71.0390625
batch,358.0,390.0078125,71.0390625
batch,359.0,390.0078125,71.0390625
batch,360.0,390.0078125,71.0390625
batch,361.0,390.01171875,71.04296875
batch,362.0,390.015625,71.046875
batch,363.0,390.015625,71.046875
batch,364.0,390.015625,71.046875
batch,365.0,390.01953125,71.05078125
batch,366.0,390.01953125,71.05078125
batch,367.0,390.01953125,71.05078125
batch,368.0,390.01953125,71.05078125
batch,369.0,390.01953125,71.05078125
batch,370.0,390.01953125,71.05078125
batch,371.0,390.01953125,71.05078125
batch,372.0,390.01953125,71.05078125
batch,373.0,390.01953125,71.05078125
batch,374.0,390.01953125,71.05078125
batch,375.0,390.0234375,71.0546875
batch,376.0,390.0234375,71.0546875
batch,377.0,390.02734375,71.05859375
batch,378.0,390.02734375,71.05859375
batch,379.0,390.02734375,71.05859375
batch,380.0,390.02734375,71.05859375
batch,381.0,390.02734375,71.05859375
batch,382.0,390.02734375,71.05859375
batch,383.0,390.02734375,71.05859375
batch,384.0,390.03125,71.0625
batch,385.0,390.03125,71.0625
batch,386.0,390.03515625,71.06640625
batch,387.0,390.03515625,71.06640625
batch,388.0,390.03515625,71.06640625
batch,389.0,390.04296875,71.07421875
batch,390.0,390.04296875,71.07421875
batch,391.0,390.04296875,71.07421875
batch,392.0,390.046875,71.078125
batch,393.0,390.046875,71.078125
batch,394.0,390.046875,71.078125
batch,395.0,390.046875,71.078125
batch,396.0,390.05078125,71.08203125
batch,397.0,390.05078125,71.08203125
batch,398.0,390.05078125,71.08203125
batch,399.0,390.05078125,71.08203125
batch,400.0,390.05078125,71.08203125
batch,401.0,390.05078125,71.08203125
batch,402.0,390.05078125,71.08203125
batch,403.0,390.08203125,71.11328125
batch,404.0,390.1015625,71.1328125
batch,405.0,390.1015625,71.1328125
batch,406.0,390.10546875,71.13671875
