feature,importance_mean,importance_std
duration,0.8611706825843306,0.00811859424626158
price,0.3367612879082995,0.0057601525147981955
category,0.021935051112989656,0.0014463509830629363
order,0.013799441690914849,0.001263559716221772
sku,0.0005614853356996407,0.0033309259474927485
